SUBEXPT,ID,GROUP,CODE,AGE,DOB,EXPT,DELTA.T,Mouse.ID.
AGE 10A,9214,CAA,H3,10,12/3/2016,AGE 10,1:45,9214
AGE 10A,9222,CAA,I4,10,12/3/2016,AGE 10,1:50,9222
AGE 10A,8358,CAA,K1,32,6/30/2016,AGE 10,1:55,8358
AGE 10A,9278,CAA,G5,8,12/15/2016,AGE 10,1:45,9278
AGE 10A,9224,CAA,H1,10,12/3/2016,AGE 10,1:46,9224
AGE 10A,9265,CAA,H2,10,12/3/2016,AGE 10,1:41,9265
AGE 10A,9221,CAA,I3,10,12/3/2016,AGE 10,1:36,9221
AGE 10A,9220,CAA,I2,10,12/3/2016,AGE 10,1:49,9220
AGE 10A,9204,CAB,H4,10,12/3/2016,AGE 10,1:36,9204
AGE 10A,8487,CAB,J1,28,7/31/2016,AGE 10,1:42,8487
AGE 10A,8488,CAB,J2,28,7/31/2016,AGE 10,1:32,8488
AGE 10A,8489,CAB,J3,28,7/31/2016,AGE 10,1:37,8489
AGE 10A,8492,CAB,J4,28,7/31/2016,AGE 10,1:43,8492
AGE 10A,8360,CAB,K3,32,6/30/2016,AGE 10,1:31,8360
AGE 10A,8364,CAB,K4,32,6/30/2016,AGE 10,1:24,8364
AGE 10A,8365,CAB,K5,32,6/30/2016,AGE 10,1:27,8365
AGE 10B,9228,SAA,B4,10,12/3/2016,AGE 10,1:46,9228
AGE 10B,9229,SAA,B5,10,12/3/2016,AGE 10,1:52,9229
AGE 10B,8006,SAA,A2,42,4/20/2016,AGE 10,1:40,8006
AGE 10B,9272,SAA,G2,8,12/15/2016,AGE 10,1:52,9272
AGE 10B,8004,SAA,A1,42,4/20/2016,AGE 10,1:35,8004
AGE 10B,8056,SAA,F1,40,5/4/2016,AGE 10,1:46,8056
AGE 10B,8061,SAA,F4,40,5/4/2016,AGE 10,1:36,8061
AGE 10B,8060,SAA,F3,40,5/4/2016,AGE 10,1:40,8060
AGE 10B,8753,SAB,C2,21,9/12/2016,AGE 10,1:58,8753
AGE 10B,8350,SAB,D1,32,6/29/2016,AGE 10,1:45,8350
AGE 10B,8351,SAB,D2,32,6/29/2016,AGE 10,1:30,8351
AGE 10B,8352,SAB,D3,32,6/29/2016,AGE 10,1:37,8352
AGE 10B,8284,SAB,F5,34,6/16/2016,AGE 10,,8284
AGE 10B,9266,SAB,G1,8,12/15/2016,AGE 10,1:51,9266
AGE 10B,9275,SAB,G3,8,12/15/2016,AGE 10,1:46,9275
AGE 10B,9276,SAB,G4,8,12/15/2016,AGE 10,1:41,9276
AGE 11A,3539,CAA,E1,100,4/20/2015,AGE 11,1:32,3539
AGE 11A,3540,CAA,E2,100,4/20/2015,AGE 11,1:36,3540
AGE 11A,3541,CAA,E3,100,4/20/2015,AGE 11,1:41,3541
AGE 11A,3542,CAA,E4,100,4/20/2015,AGE 11,1:40,3542
AGE 11A,3602,CAA,F1,98,5/1/2015,AGE 11,1:49,3602
AGE 11A,3606,CAA,E5,98,5/1/2015,AGE 11,1:45,3606
AGE 11A,3607,CAA,F2,98,5/1/2015,AGE 11,1:31,3607
AGE 11A,3661,CAA,G1,97,5/8/2015,AGE 11,1:36,3661
AGE 11A,3596,CAB,B2,98,5/1/2015,AGE 11,1:49,3596
AGE 11A,3608,CAB,F3,98,5/1/2015,AGE 11,1:49,3608
AGE 11A,3662,CAB,G2,97,5/8/2015,AGE 11,1:35,3662
AGE 11A,3663,CAB,G3,97,5/8/2015,AGE 11,1:40,3663
AGE 11A,3664,CAB,G4,97,5/8/2015,AGE 11,1:45,3664
AGE 11A,3858,CAB,H2,92,6/15/2015,AGE 11,1:42,3858
AGE 11B,3422,SAA,A1,103,4/2/2015,AGE 11,1:32,3422
AGE 11B,3425,SAA,D1,103,4/2/2015,AGE 11,1:28,3425
AGE 11B,3426,SAA,D2,103,4/2/2015,AGE 11,1:28,3426
AGE 11B,3427,SAA,A2,103,4/2/2015,AGE 11,1:39,3427
AGE 11B,3429,SAA,A3,103,4/2/2015,AGE 11,1:43,3429
AGE 11B,3507,SAA,A4,101,4/16/2015,AGE 11,1:38,3507
AGE 11B,3508,SAA,A5,101,4/16/2015,AGE 11,1:44,3508
AGE 11B,3595,SAA,B1,98,5/1/2015,AGE 11,1:33,3595
AGE 11B,3307,SAB,C1,101,4/10/2015,AGE 11,1:31,3307
AGE 11B,3308,SAB,C2,101,4/10/2015,AGE 11,1:41,3308
AGE 11B,3431,SAB,D3,103,4/2/2015,AGE 11,1:47,3431
AGE 11B,3433,SAB,D4,103,4/2/2015,AGE 11,1:26,3433
AGE 11B,3531,SAB,C3,101,4/10/2015,AGE 11,1:35,3531
AGE 11B,3597,SAB,B3,98,5/1/2015,AGE 11,1:33,3597
AGE 11B,3603,SAB,B4,98,5/1/2015,AGE 11,1:38,3603
AGE 11B,3604,SAB,B5,98,5/1/2015,AGE 11,1:42,3604
16A,8363,SAA,NA,122,7/1/2016,AGE 16,1:10,8363
16A,8366,SAB,NA,122,1-Jul,AGE 16,1:16,8366
16A,8390,CAA,NA,122,7/4/2016,AGE 16,1:33,8390
16A,8212,CAB,NA,127,6/1/2016,AGE 16,1:28,8212
16A,8216,SAA,NA,127,6/1/2016,AGE 16,1:00,8216
16A,8217,SAB,NA,126,6/5/2016,AGE 16,1:18,8217
16A,8221,CAA,NA,126,6/5/2016,AGE 16,1:24,8221
16A,8283,CAB,NA,125,6/16/2016,AGE 16,,8283
16A,1296,SAA,NA,37,2/19/2018,AGE 16,1:11,1296
16A,1298,SAA,NA,37,2/19/2018,AGE 16,1:15,1298
16A,1302,SAA,NA,37,2/19/2018,AGE 16,1:21,1302
16A,1303,SAB,NA,37,2/19/2018,AGE 16,1:30,1303
15A,1536,SAA,NA,23,4/8/2018,AGE 15,1:11,1536
15A,1537,SAA,NA,23,8-Apr,AGE 15,1:18,1537
15A,1543,CAA,NA,24,4/4/2018,AGE 15,1:31,1543
15A,1546,CAA,NA,24,4/4/2018,AGE 15,1:24,1546
15A,1542,SAA,NA,24,4/5/2018,AGE 15,1:15,1542
15A,1544,SAB,NA,24,4/5/2018,AGE 15,1:21,1544
15A,1548,SAB,NA,24,4/5/2018,AGE 15,1:26,1548
15A,1553,CAB,NA,24,4/5/2018,AGE 15,1:31,1553
15A,1549,SAA,NA,24,4/7/2018,AGE 15,1:45,1549
15A,1550,SAB,NA,24,4/7/2018,AGE 15,1:40,1550
15A,1551,SAB,NA,24,4/7/2018,AGE 15,1:36,1551
15A,1552,CAB,NA,24,4/7/2018,AGE 15,1:30,1552
15A,1554,SAA,NA,24,4/7/2018,AGE 15,1:20,1554
15A,1744,SAB,NA,18,5/14/2018,AGE 15,1:25,1744
15A,1743,CAA,NA,18,5/14/2018,AGE 15,1:30,1743
15A,1800,CAB,NA,18,5/14/2018,AGE 15,1:35,1800
15A,1655,SAA,NA,20,5/1/2018,AGE 15,1:15,1655
15A,1661,SAB,NA,20,4/30/2018,AGE 15,1:23,1661
15A,1751,CAA,NA,18,5/14/2018,AGE 15,1:35,1751
15A,1753,CAB,NA,18,5/14/2018,AGE 15,1:27,1753
